"CATRA Test ID","Stroke","Cut Depth (forward + back)","Blade ID"
396,36,3,"HNB-8-01"
397,37,3,"HNB-8-01"
398,38,3,"HNB-8-01"
399,39,3,"HNB-8-01"
400,40,2,"HNB-8-01"
401,41,2,"HNB-8-01"
402,42,2,"HNB-8-01"
403,43,2,"HNB-8-01"
404,44,2,"HNB-8-01"
405,45,2,"HNB-8-01"
406,46,3,"HNB-8-01"
407,47,3,"HNB-8-01"
408,48,2,"HNB-8-01"
409,49,2,"HNB-8-01"
410,50,1,"HNB-8-01"
411,51,1,"HNB-8-01"
412,52,1,"HNB-8-01"
413,53,1,"HNB-8-01"
414,54,1,"HNB-8-01"
415,55,1,"HNB-8-01"
416,56,1,"HNB-8-01"
417,57,1,"HNB-8-01"
418,58,1,"HNB-8-01"
419,59,1,"HNB-8-01"
420,60,1,"HNB-8-01"
421,1,48,"MAC-8-1"
422,2,28,"MAC-8-1"
423,3,28,"MAC-8-1"
424,4,21,"MAC-8-1"
425,5,16,"MAC-8-1"
426,6,14,"MAC-8-1"
427,7,13,"MAC-8-1"
428,8,12,"MAC-8-1"
429,9,12,"MAC-8-1"
430,10,10,"MAC-8-1"
431,11,10,"MAC-8-1"
432,12,10,"MAC-8-1"
433,13,10,"MAC-8-1"
434,14,8,"MAC-8-1"
435,15,8,"MAC-8-1"
436,16,7,"MAC-8-1"
437,17,8,"MAC-8-1"
438,18,7,"MAC-8-1"
439,19,7,"MAC-8-1"
440,20,6,"MAC-8-1"
441,21,6,"MAC-8-1"
442,22,6,"MAC-8-1"
443,23,5,"MAC-8-1"
444,24,6,"MAC-8-1"
445,25,6,"MAC-8-1"
446,26,6,"MAC-8-1"
447,27,5,"MAC-8-1"
448,28,4,"MAC-8-1"
449,29,4,"MAC-8-1"
450,30,4,"MAC-8-1"
451,31,4,"MAC-8-1"
452,32,4,"MAC-8-1"
453,33,4,"MAC-8-1"
454,34,4,"MAC-8-1"
455,35,4,"MAC-8-1"
456,36,4,"MAC-8-1"
457,37,4,"MAC-8-1"
458,38,4,"MAC-8-1"
459,39,3,"MAC-8-1"
460,40,3,"MAC-8-1"
461,41,3,"MAC-8-1"
462,42,3,"MAC-8-1"
463,43,3,"MAC-8-1"
464,44,3,"MAC-8-1"
465,45,3,"MAC-8-1"
466,46,3,"MAC-8-1"
467,47,3,"MAC-8-1"
468,48,3,"MAC-8-1"
469,49,3,"MAC-8-1"
470,50,3,"MAC-8-1"
471,51,3,"MAC-8-1"
472,52,3,"MAC-8-1"
473,53,3,"MAC-8-1"
474,54,3,"MAC-8-1"
475,55,3,"MAC-8-1"
476,56,2,"MAC-8-1"
477,57,3,"MAC-8-1"
478,58,2,"MAC-8-1"
479,59,2,"MAC-8-1"
480,60,2,"MAC-8-1"
481,1,48,"MAT-8-01"
482,2,32,"MAT-8-01"
483,3,27,"MAT-8-01"
484,4,25,"MAT-8-01"
485,5,21,"MAT-8-01"
486,6,20,"MAT-8-01"
487,7,18,"MAT-8-01"
488,8,18,"MAT-8-01"
489,9,14,"MAT-8-01"
490,10,14,"MAT-8-01"
491,11,13,"MAT-8-01"
492,12,12,"MAT-8-01"
493,13,11,"MAT-8-01"
494,14,10,"MAT-8-01"
495,15,9,"MAT-8-01"
496,16,9,"MAT-8-01"
497,17,8,"MAT-8-01"
498,18,7,"MAT-8-01"
499,19,7,"MAT-8-01"
